City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,80.89,81,91,21.9,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,77.47,74,100,13.2,overcast clouds
2,Tiksi,RU,71.6872,128.8694,-25.46,85,100,7.23,overcast clouds
3,Briancon,FR,44.9,6.65,45.0,93,100,7.81,moderate rain
4,Punta Arenas,CL,-53.15,-70.9167,51.8,50,40,18.41,scattered clouds
5,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.6,74,75,11.5,broken clouds
6,Khategaon,IN,22.6,76.9167,62.17,31,0,9.08,clear sky
7,Qaanaaq,GL,77.484,-69.3632,9.66,87,100,7.31,overcast clouds
8,Fort Nelson,CA,58.8053,-122.7002,-36.4,67,20,2.3,few clouds
9,Thompson,CA,55.7435,-97.8558,-34.6,67,75,12.66,snow
10,Ixtapa,MX,20.7,-105.2,62.6,88,1,2.3,clear sky
11,Mahebourg,MU,-20.4081,57.7,80.6,74,20,8.05,few clouds
12,Northam,GB,51.0333,-4.2167,43.0,93,83,1.99,light rain
13,Sinnamary,GF,5.3833,-52.95,80.17,84,92,14.94,overcast clouds
14,Mataura,NZ,-46.1927,168.8643,49.21,94,3,1.16,clear sky
15,Taoudenni,ML,22.6783,-3.9836,80.13,19,54,17.34,broken clouds
16,Leningradskiy,RU,69.3833,178.4167,-13.7,81,87,6.6,overcast clouds
17,Hermanus,ZA,-34.4187,19.2345,73.0,77,1,5.01,clear sky
18,Saint-Philippe,RE,-21.3585,55.7679,82.4,74,40,8.05,light rain
19,Bambous Virieux,MU,-20.3428,57.7575,80.6,74,20,8.05,few clouds
20,Okhotsk,RU,59.3833,143.3,2.93,90,100,8.32,overcast clouds
21,Kapaa,US,22.0752,-159.319,59.0,82,13,6.91,few clouds
22,Skibbereen,IE,51.55,-9.2667,42.8,81,75,12.66,broken clouds
23,Jawhar,SO,2.7809,45.5005,76.41,65,0,17.63,clear sky
24,Yellowknife,CA,62.456,-114.3525,-43.01,73,1,2.3,fog
25,Urrao,CO,6.3152,-76.1342,73.4,60,75,3.44,broken clouds
26,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,73,75,4.61,broken clouds
27,Champerico,GT,14.3,-91.9167,80.6,65,0,6.44,clear sky
28,Port Alfred,ZA,-33.5906,26.891,77.0,86,15,3.0,few clouds
29,Biu,NG,10.6129,12.1946,89.11,12,72,9.98,broken clouds
30,Upernavik,GL,72.7868,-56.1549,20.3,81,100,6.55,overcast clouds
31,Mar Del Plata,AR,-38.0023,-57.5575,73.0,68,75,13.8,broken clouds
32,Hilo,US,19.7297,-155.09,61.0,67,1,6.91,clear sky
33,Tura,IN,25.5198,90.2201,57.87,69,38,3.78,scattered clouds
34,Kanigoro,ID,-8.13,112.219,75.0,87,91,9.89,light rain
35,Maamba,ZM,-17.3667,27.15,79.02,73,89,3.8,overcast clouds
36,Key West,US,24.5557,-81.7826,75.2,88,40,9.22,scattered clouds
37,Ponta Do Sol,PT,32.6667,-17.1,62.6,51,40,12.66,scattered clouds
38,Vestmannaeyjar,IS,63.4427,-20.2734,37.4,87,40,27.63,scattered clouds
39,Charlestown,AU,-32.95,151.6667,72.0,98,20,5.93,few clouds
40,Ushuaia,AR,-54.8,-68.3,51.8,50,40,19.57,scattered clouds
41,Ahipara,NZ,-35.1667,173.1667,58.87,87,92,3.13,overcast clouds
42,Nizhniy Tsasuchey,RU,50.5167,115.1333,-5.46,86,1,6.51,clear sky
43,Jinxiang,CN,27.4327,120.6062,56.59,85,92,5.1,overcast clouds
44,Tuatapere,NZ,-46.1333,167.6833,51.49,86,1,3.22,clear sky
45,Tomatlan,MX,19.9333,-105.25,80.04,55,89,1.52,overcast clouds
46,Ndele,CF,8.4109,20.6473,90.75,13,78,6.2,broken clouds
47,Cape Town,ZA,-33.9258,18.4232,78.01,65,0,18.41,clear sky
48,Pacific Grove,US,36.6177,-121.9166,44.01,87,1,5.75,clear sky
49,Kenai,US,60.5544,-151.2583,10.0,85,40,5.75,scattered clouds
50,Ban Chang,TH,12.7254,101.0553,75.2,78,13,4.61,mist
51,Rumuruti,KE,0.267,36.5389,69.53,50,88,11.83,overcast clouds
52,Cleburne,US,32.3476,-97.3867,48.0,87,90,10.36,overcast clouds
53,Dikson,RU,73.5069,80.5464,-29.18,86,34,10.02,scattered clouds
54,Najran,SA,17.4924,44.1277,78.8,29,40,14.97,scattered clouds
55,Severo-Kurilsk,RU,50.6789,156.125,19.58,94,100,16.98,light snow
56,Ambon,ID,-3.6954,128.1814,78.8,89,40,6.91,scattered clouds
57,Rapar,IN,23.5667,70.6333,68.76,24,0,7.58,clear sky
58,Mandurah,AU,-32.55,115.7,60.01,90,100,1.99,light rain
59,Hobart,AU,-42.8794,147.3294,57.2,88,90,5.75,overcast clouds
60,Yarmouth,US,41.7057,-70.2286,42.8,39,1,17.27,clear sky
61,Busselton,AU,-33.65,115.3333,60.01,93,100,1.01,light rain
62,Gobabis,NA,-22.45,18.9667,83.89,35,69,17.54,broken clouds
63,Amapa,BR,1.0,-52.0,81.77,79,100,3.6,overcast clouds
64,Avarua,CK,-21.2078,-159.775,75.2,94,15,2.3,light rain
65,Lagos,NG,6.5833,3.75,88.07,64,0,10.45,clear sky
66,Havelock,US,34.8791,-76.9013,48.99,61,75,8.05,broken clouds
67,Biltine,TD,14.5333,20.9167,83.26,13,1,11.23,clear sky
68,Barrow,US,71.2906,-156.7887,-2.2,71,90,10.36,overcast clouds
69,Norman Wells,CA,65.282,-126.8329,-38.2,74,40,4.61,scattered clouds
70,Yulara,AU,-25.2406,130.9889,80.6,29,0,9.22,clear sky
71,Chuy,UY,-33.6971,-53.4616,79.66,50,0,10.09,clear sky
72,Dakar,SN,14.6937,-17.4441,68.0,60,20,21.85,few clouds
73,Jamestown,US,42.097,-79.2353,19.0,62,40,19.57,scattered clouds
74,Bangassou,CF,4.7413,22.8184,93.42,14,65,2.91,broken clouds
75,Balabac,PH,7.9868,117.0645,80.33,81,100,14.2,overcast clouds
76,Yar-Sale,RU,66.8333,70.8333,-30.93,84,100,13.53,overcast clouds
77,Suamico,US,44.6319,-88.0393,3.99,66,1,17.27,clear sky
78,Cabedelo,BR,-6.9811,-34.8339,89.6,55,40,11.5,scattered clouds
79,Tymovskoye,RU,50.8456,142.655,-7.01,89,96,0.72,overcast clouds
80,Rovaniemi,FI,66.5,25.7167,15.8,86,0,12.66,clear sky
81,Hithadhoo,MV,-0.6,73.0833,81.99,76,100,14.25,overcast clouds
82,Bandarbeyla,SO,9.4942,50.8122,76.8,78,12,13.91,few clouds
83,Pontes E Lacerda,BR,-15.2261,-59.3353,89.74,46,29,3.49,scattered clouds
84,Trudovoye,RU,43.3058,132.0817,8.6,61,83,6.71,broken clouds
85,Karibib,NA,-21.9333,15.8333,90.25,23,18,21.54,few clouds
86,Luxor,EG,25.6989,32.6421,75.2,35,0,2.3,clear sky
87,Vaini,TO,-21.2,-175.2,77.0,100,75,4.61,broken clouds
88,Ilave,PE,-16.0833,-69.6667,55.38,58,87,9.04,overcast clouds
89,Olinda,BR,-8.0089,-34.8553,84.2,58,40,10.36,scattered clouds
90,Belle Fourche,US,44.6714,-103.8522,3.0,84,20,4.61,few clouds
91,Haines Junction,CA,60.7522,-137.5108,-25.6,68,87,1.14,overcast clouds
92,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,90,17.27,snow
93,Bengkulu,ID,-3.8004,102.2655,76.86,85,78,6.55,broken clouds
94,Geraldton,AU,-28.7667,114.6,69.8,88,90,27.63,overcast clouds
95,Longyearbyen,SJ,78.2186,15.6401,23.0,74,75,9.22,broken clouds
96,Lakes Entrance,AU,-37.8811,147.981,61.0,92,26,11.3,scattered clouds
97,Lavrentiya,RU,65.5833,-171.0,-1.66,86,96,6.89,overcast clouds
98,Mbandaka,CD,0.0487,18.2603,85.28,54,89,5.14,overcast clouds
99,Puerto Ayacucho,VE,5.6639,-67.6236,93.24,45,97,3.83,overcast clouds
100,Goderich,CA,43.7501,-81.7165,15.8,67,100,26.46,overcast clouds
101,Port Elizabeth,ZA,-33.918,25.5701,82.4,65,20,5.75,few clouds
102,Clyde River,CA,70.4692,-68.5914,-14.8,76,40,3.44,scattered clouds
103,Bibiani,GH,6.4635,-2.3194,89.22,50,57,6.13,broken clouds
104,Lebu,CL,-37.6167,-73.65,62.74,77,92,6.29,overcast clouds
105,Khatanga,RU,71.9667,102.5,-36.92,78,0,5.12,clear sky
106,Srandakan,ID,-7.9386,110.2506,77.88,86,100,2.24,overcast clouds
107,Zemio,CF,5.0314,25.1361,87.87,17,92,3.76,overcast clouds
108,Maldonado,UY,-34.6667,-54.9167,79.0,50,0,14.97,clear sky
109,Veraval,IN,20.9,70.3667,72.12,47,0,6.49,clear sky
110,Aswan,EG,24.0934,32.907,70.03,25,0,10.0,clear sky
111,Arlit,NE,18.7369,7.3853,86.13,11,100,13.13,overcast clouds
112,Karatau,KZ,43.1667,70.4667,44.06,61,99,14.97,overcast clouds
113,Seydi,TM,39.4816,62.9137,53.04,59,100,6.55,overcast clouds
114,Zhigansk,RU,66.7697,123.3711,-41.3,80,43,10.13,scattered clouds
115,Mariental,NA,-24.6333,17.9667,96.55,9,0,18.57,clear sky
116,Labuhan,ID,-6.8844,112.2051,78.87,85,81,11.23,light rain
117,Bredasdorp,ZA,-34.5322,20.0403,78.8,53,0,16.11,clear sky
118,Cabo San Lucas,MX,22.8909,-109.9124,62.6,67,1,3.44,clear sky
119,Faanui,PF,-16.4833,-151.75,81.37,69,0,10.25,clear sky
120,Ginir,ET,7.1333,40.7,67.08,40,64,7.16,broken clouds
121,Nyaunglebin,MM,17.95,96.7333,73.09,56,0,2.68,clear sky
122,Redmond,US,47.674,-122.1215,45.0,89,100,1.01,overcast clouds
123,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,40,17.27,scattered clouds
124,Caceres,ES,39.522,-6.3748,51.01,85,96,5.01,overcast clouds
125,Blankenberge,BE,51.3131,3.1323,45.0,83,100,10.0,overcast clouds
126,Hofn,IS,64.2539,-15.2082,35.91,84,100,17.78,overcast clouds
127,Whitley Bay,GB,55.0397,-1.4471,37.99,93,90,16.11,heavy intensity rain
128,Hami,CN,42.8,93.45,32.52,78,100,4.12,overcast clouds
129,Portland,US,45.5234,-122.6762,42.01,87,75,4.61,broken clouds
130,Luocheng,CN,29.3848,104.0286,55.18,57,66,3.24,broken clouds
131,Tasiilaq,GL,65.6145,-37.6368,32.0,93,90,32.21,snow
132,Castro,BR,-24.7911,-50.0119,76.21,51,0,5.57,clear sky
133,Upington,ZA,-28.4478,21.2561,100.4,13,20,9.22,few clouds
134,Vadso,NO,70.0744,29.7487,24.8,74,40,18.41,snow
135,Katsuura,JP,35.1333,140.3,48.99,87,20,11.5,few clouds
136,Torbay,CA,47.6666,-52.7314,37.99,80,90,9.22,overcast clouds
137,Chinhoyi,ZW,-17.3667,30.2,73.96,85,92,4.74,light rain
138,Pisco,PE,-13.7,-76.2167,73.0,83,75,9.22,broken clouds
139,Stornoway,GB,58.2093,-6.3865,39.2,70,75,20.71,broken clouds
140,Westport,US,41.1415,-73.3579,39.99,60,1,10.36,clear sky
141,Bilma,NE,18.6853,12.9164,81.05,15,19,9.31,few clouds
142,Erenhot,CN,43.6475,111.9767,2.89,84,0,2.21,clear sky
143,Miri,MY,4.4148,114.0089,78.8,94,40,3.44,scattered clouds
144,Chapais,CA,49.7834,-74.8492,17.6,73,90,14.97,light snow
145,Lasa,IT,46.6166,10.7002,45.0,93,20,10.36,few clouds
146,Tandil,AR,-37.3217,-59.1332,90.0,33,0,8.01,clear sky
147,Lata,PT,40.1629,-8.3327,59.0,76,89,4.0,overcast clouds
148,East London,ZA,-33.0153,27.9116,77.0,83,75,11.5,broken clouds
149,Waipawa,NZ,-41.4122,175.5153,53.6,87,100,3.44,overcast clouds
150,Ribeira Grande,PT,38.5167,-28.7,60.8,88,75,20.71,broken clouds
151,Saint George,US,37.1041,-113.5841,35.6,55,1,4.61,clear sky
152,Narrabri,AU,-30.3167,149.7833,71.6,88,75,4.9,broken clouds
153,Charters Towers,AU,-20.1,146.2667,75.4,86,97,7.85,overcast clouds
154,Agadez,NE,19.75,10.25,79.86,14,94,13.09,overcast clouds
155,Chokurdakh,RU,70.6333,147.9167,-16.37,87,99,3.94,overcast clouds
156,Obera,AR,-27.4871,-55.1199,78.67,40,0,5.86,clear sky
157,Koumac,NC,-20.5667,164.2833,76.69,75,1,1.21,clear sky
158,Iqaluit,CA,63.7506,-68.5145,21.2,86,75,14.97,broken clouds
159,Victoria,HK,22.2855,114.1577,68.0,69,0,4.54,clear sky
160,Karratha,AU,-20.7377,116.8463,78.82,76,5,10.65,clear sky
161,Vao,NC,-22.6667,167.4833,77.31,87,1,8.12,clear sky
162,Jiayuguan,CN,39.8167,98.3,28.06,69,16,1.1,few clouds
163,Cherskiy,RU,68.75,161.3,-9.98,81,0,7.72,clear sky
164,New Norfolk,AU,-42.7826,147.0587,57.2,88,90,5.75,overcast clouds
165,Cidreira,BR,-30.1811,-50.2056,75.22,63,57,11.12,broken clouds
166,Anapskaya,RU,44.89,37.38,32.0,86,90,8.95,light rain
167,Saskylakh,RU,71.9167,114.0833,-37.82,80,69,4.61,broken clouds
168,Chiredzi,ZW,-21.05,31.6667,82.78,69,74,7.16,broken clouds
169,San Quintin,MX,30.4833,-115.95,58.06,74,0,2.64,clear sky
170,Luchegorsk,RU,46.4764,134.2569,-14.24,88,2,2.06,clear sky
171,Aksarka,RU,66.5606,67.7975,-33.66,81,72,17.4,broken clouds
172,Miandrivazo,MG,-19.5167,45.4667,80.98,80,100,3.78,moderate rain
173,Albany,US,42.6001,-73.9662,35.01,37,76,4.0,light snow
174,Mount Gambier,AU,-37.8333,140.7667,55.4,100,90,10.36,overcast clouds
175,Kharp,RU,66.8014,65.8081,-27.98,79,27,1.39,scattered clouds
176,Astaneh-Ye Ashrafiyeh,IR,37.2596,49.9444,51.8,87,90,4.61,overcast clouds
177,Riyadh,SA,24.6877,46.7219,68.0,45,75,5.75,broken clouds
178,Sumiswald,CH,47.0275,7.7453,50.0,81,90,1.14,overcast clouds
179,Bethel,US,41.3712,-73.414,39.0,44,1,8.05,clear sky
180,Daru,PG,-9.0763,143.2092,80.06,79,96,10.11,overcast clouds
181,Vanavara,RU,60.34,102.2797,-0.96,93,100,4.45,overcast clouds
182,Priiskovyy,RU,51.9333,116.6333,-13.14,85,1,2.91,clear sky
183,Linxia,CN,35.6003,103.2064,30.7,70,67,0.81,broken clouds
184,Bluff,NZ,-46.6,168.3333,54.27,86,9,1.45,clear sky
185,Luzhou,CN,28.8724,105.4405,58.77,64,97,2.19,overcast clouds
186,Port Hedland,AU,-20.3167,118.5667,80.6,74,75,9.22,broken clouds
187,Guhagar,IN,17.4842,73.1929,75.27,56,0,8.95,clear sky
188,Rio Branco,BR,-9.9747,-67.81,78.8,94,75,3.44,mist
189,San Patricio,US,28.017,-97.5169,62.6,88,90,8.05,mist
190,Meulaboh,ID,4.1363,96.1285,80.01,80,54,3.51,broken clouds
191,Chulman,RU,56.8479,124.9104,-20.43,85,100,2.98,overcast clouds
192,Iracoubo,GF,5.4802,-53.2011,80.1,81,91,14.81,overcast clouds
193,Marzuq,YE,14.4,46.4667,62.28,67,0,8.41,clear sky
194,Hamilton,US,39.1834,-84.5333,28.0,54,1,3.44,clear sky
195,Saldanha,ZA,-33.0117,17.9442,77.0,61,20,24.16,few clouds
196,Vilyuysk,RU,63.7553,121.6247,-35.82,82,2,4.05,clear sky
197,Bathsheba,BB,13.2167,-59.5167,84.2,54,40,20.71,scattered clouds
198,Kruisfontein,ZA,-34.0033,24.7314,77.0,73,0,5.01,clear sky
199,Chegdomyn,RU,51.1167,133.0167,-14.66,88,100,0.29,overcast clouds
200,Isangel,VU,-19.55,169.2667,77.76,79,0,2.98,clear sky
201,Aquiraz,BR,-3.9014,-38.3911,87.8,58,20,16.11,few clouds
202,Kodiak,US,57.79,-152.4072,23.0,74,1,4.61,clear sky
203,Puerto Carreno,CO,6.189,-67.4859,93.61,39,99,11.92,overcast clouds
204,Flinders,AU,-34.5833,150.8552,66.0,87,0,1.01,clear sky
205,Sur,OM,22.5667,59.5289,65.34,59,0,7.09,clear sky
206,Sitka,US,57.0531,-135.33,35.6,93,90,4.61,overcast clouds
207,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,85.82,61,36,13.2,scattered clouds
208,Kloulklubed,PW,7.0419,134.2556,78.8,94,75,6.91,broken clouds
209,Zaria,NG,11.1113,7.7227,88.99,12,65,10.89,broken clouds
210,Koygorodok,RU,60.445,50.9968,-5.57,90,100,10.56,light snow
211,Roald,NO,62.5833,6.1333,28.4,59,0,11.5,clear sky
212,Reyes,BO,-14.3167,-67.3833,89.6,66,75,5.23,broken clouds
213,Georgetown,MY,5.4112,100.3354,86.0,70,20,3.44,few clouds
214,Bakaly,RU,55.1789,53.8028,2.46,91,100,18.59,overcast clouds
215,Narsaq,GL,60.9167,-46.05,32.0,29,1,16.11,clear sky
216,Paamiut,GL,61.994,-49.6678,23.0,80,0,7.27,clear sky
217,Nikolskoye,RU,59.7035,30.7861,14.0,85,90,13.42,light snow
218,Inyonga,TZ,-6.7167,32.0667,71.17,89,65,2.46,moderate rain
219,Atuona,PF,-9.8,-139.0333,80.29,76,60,22.68,broken clouds
220,Beringovskiy,RU,63.05,179.3167,-9.65,88,1,6.76,clear sky
221,Lompoc,US,34.6391,-120.4579,45.0,93,1,3.44,clear sky
222,Mogadishu,SO,2.0371,45.3438,77.56,78,0,19.17,clear sky
223,Wanning,CN,18.8003,110.3967,68.31,89,3,4.52,clear sky
224,Pevek,RU,69.7008,170.3133,-1.84,86,100,1.32,overcast clouds
225,Kamiiso,JP,41.8167,140.65,30.07,93,100,5.37,overcast clouds
226,Vila Velha,BR,-20.3297,-40.2925,87.8,55,20,9.22,few clouds
227,Maridi,SS,4.9158,29.4742,85.78,14,14,5.17,few clouds
228,Marsa Matruh,EG,31.3525,27.2453,62.6,77,0,8.05,clear sky
229,Waitati,NZ,-45.75,170.5667,57.99,81,8,4.0,clear sky
230,Esperance,AU,-33.8667,121.9,60.8,82,90,11.5,overcast clouds
231,Cap Malheureux,MU,-19.9842,57.6142,80.01,78,53,3.0,broken clouds
232,Troitskoye,RU,52.9821,84.6757,27.97,99,44,8.81,scattered clouds
233,Emerald,AU,-23.5333,148.1667,84.2,65,100,8.05,overcast clouds
234,Kiunga,PG,-6.1219,141.2906,74.35,98,100,1.92,overcast clouds
235,Bagdarin,RU,54.4333,113.6,-12.66,81,58,3.27,broken clouds
236,Kaili,ID,-3.4626,120.2147,68.45,96,100,2.44,overcast clouds
237,Kem,RU,64.9555,34.5793,18.12,97,100,12.5,light snow
238,Lanzhou,CN,36.0564,103.7922,35.01,37,20,2.46,few clouds
239,Maniitsoq,GL,65.4167,-52.9,23.74,76,0,8.79,clear sky
240,Tiarei,PF,-17.5333,-149.3333,77.0,73,75,5.75,light rain
241,Aborlan,PH,9.4352,118.5492,78.8,83,20,4.61,few clouds
242,Omsukchan,RU,62.5333,155.8,-16.17,87,83,1.61,broken clouds
243,Kununurra,AU,-15.7667,128.7333,80.6,94,40,5.75,scattered clouds
244,Iquique,CL,-20.2208,-70.1431,77.0,53,0,13.8,clear sky
245,Taft,IR,31.7471,54.2088,57.2,24,0,4.61,clear sky
246,Iseyin,NG,7.9667,3.6,100.42,16,56,3.6,broken clouds
247,Talnakh,RU,69.4865,88.3972,-29.24,76,0,3.56,clear sky
248,Pinega,RU,64.7001,43.3936,-5.71,91,99,8.3,overcast clouds
249,Jieshi,CN,22.8134,115.8257,65.35,82,0,3.06,clear sky
250,Vardo,NO,70.3705,31.1107,23.0,74,40,18.41,snow
251,Puerto Escondido,MX,15.85,-97.0667,82.4,74,40,7.25,scattered clouds
252,Carnarvon,AU,-24.8667,113.6333,80.6,100,75,12.66,broken clouds
253,Hualmay,PE,-11.0964,-77.6139,74.75,66,94,8.43,overcast clouds
254,Te Anau,NZ,-45.4167,167.7167,52.79,85,24,0.94,few clouds
255,Yaan,NG,7.3833,8.5667,101.12,8,0,9.51,clear sky
256,Ilulissat,GL,69.2167,-51.1,17.6,41,40,26.46,snow
257,Gorontalo,ID,0.5412,123.0595,75.09,88,96,3.53,overcast clouds
258,Saint Anthony,US,45.0205,-93.218,-0.4,55,40,19.57,scattered clouds
259,Tommot,RU,58.9564,126.2925,-18.85,83,100,1.01,overcast clouds
260,Poindimie,NC,-20.9333,165.3333,76.6,82,2,4.41,clear sky
261,Coahuayana,MX,18.7333,-103.6833,68.0,73,1,0.85,clear sky
262,Luderitz,NA,-26.6481,15.1594,77.23,46,0,30.27,clear sky
263,Dunedin,NZ,-45.8742,170.5036,57.99,87,4,1.01,clear sky
264,Husavik,IS,66.0449,-17.3389,33.8,64,75,6.91,broken clouds
265,Tauranga,NZ,-37.6861,176.1667,60.01,75,95,3.0,overcast clouds
266,Mangan,IN,27.5167,88.5333,49.5,49,95,4.03,overcast clouds
267,Qaqortoq,GL,60.7167,-46.0333,32.0,29,1,14.97,clear sky
268,Tongzi,CN,28.7829,105.0877,57.02,64,82,1.72,broken clouds
269,Kuryk,KZ,43.2,51.65,39.33,68,26,4.79,scattered clouds
270,Coquimbo,CL,-29.9533,-71.3436,62.6,77,90,5.75,overcast clouds
271,Guaruja,BR,-23.9931,-46.2564,82.0,65,75,7.0,broken clouds
272,Gold Coast,AU,-28.0,153.4333,75.0,88,100,1.14,overcast clouds
273,Gudibanda,IN,13.6694,77.6983,69.8,40,0,3.44,clear sky
274,Lindi,TZ,-10.0,39.7167,82.4,83,40,11.5,scattered clouds
275,Isabela,PH,6.7085,121.9711,77.0,94,75,2.3,broken clouds
276,Constitucion,CL,-35.3333,-72.4167,63.75,74,84,3.6,broken clouds
277,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,92.12,26,40,8.77,scattered clouds
278,Mehamn,NO,71.0357,27.8492,25.92,93,100,19.75,light snow
279,Samarai,PG,-10.6167,150.6667,82.49,77,100,6.17,overcast clouds
280,Teahupoo,PF,-17.8333,-149.2667,77.0,73,75,5.75,light rain
281,Oksfjord,NO,70.2396,22.3479,28.0,93,40,2.3,light snow
282,Ballina,AU,-28.8667,153.5667,71.6,88,91,2.51,light rain
283,Ko Samui,TH,9.5357,99.9357,80.62,76,28,9.42,scattered clouds
284,Broome,US,42.2506,-75.833,28.99,46,40,17.27,scattered clouds
285,Klaksvik,FO,62.2266,-6.589,35.6,64,40,18.41,scattered clouds
286,Willowmore,ZA,-33.2926,23.4895,84.31,32,0,16.13,clear sky
287,Shahdadkot,PK,27.8477,67.9055,63.0,27,0,0.34,clear sky
288,Port Hardy,CA,50.6996,-127.4199,44.6,100,90,9.22,light rain
289,Hobyo,SO,5.3505,48.5268,78.26,71,2,12.19,clear sky
290,Jurm,AF,36.8648,70.8342,42.44,56,100,0.27,overcast clouds
291,Kaitangata,NZ,-46.2817,169.8464,50.25,93,2,3.51,clear sky
292,Cananeia,BR,-25.0147,-47.9267,80.33,59,32,8.43,scattered clouds
293,Gao,ML,16.6362,1.637,91.89,11,32,10.98,scattered clouds
294,Prince Rupert,CA,54.3161,-130.3201,37.4,87,90,3.44,light rain
295,Adrar,MR,20.5022,-10.0711,71.4,22,37,14.29,scattered clouds
296,General Roca,AR,-39.0333,-67.5833,73.4,53,0,12.66,clear sky
297,Tabora,TZ,-5.0167,32.8,71.6,83,75,8.05,moderate rain
298,Faya,SA,18.3851,42.4509,55.4,71,40,11.5,scattered clouds
299,Olafsvik,IS,64.8945,-23.7142,35.71,79,100,16.87,light rain
300,Lujan,AR,-34.5703,-59.105,87.01,39,0,1.99,clear sky
301,Jiexiu,CN,37.0244,111.9125,41.85,54,41,4.68,scattered clouds
302,Naze,JP,28.3667,129.4833,61.07,84,98,7.47,overcast clouds
303,Lahuachaca,BO,-17.3667,-67.6667,55.15,52,95,0.94,overcast clouds
304,Zhifang,CN,30.35,114.3167,46.4,100,53,2.24,mist
305,Chitral,PK,35.8462,71.7858,42.67,47,0,6.06,clear sky
306,Nome,US,64.5011,-165.4064,14.0,85,90,4.61,overcast clouds
307,Chifeng,CN,42.2683,118.9636,12.09,93,100,3.53,overcast clouds
308,Kayes,ML,14.0,-11.0,95.25,10,64,11.05,broken clouds
309,Anloga,GH,5.7947,0.8973,91.4,62,0,12.66,clear sky
310,Port Moresby,PG,-9.4431,147.1797,77.0,94,40,9.22,scattered clouds
311,Oistins,BB,13.0667,-59.5333,84.2,54,40,20.71,scattered clouds
312,Iwanai,JP,42.9744,140.5089,25.23,93,96,3.8,overcast clouds
313,Makakilo City,US,21.3469,-158.0858,62.6,82,90,4.61,overcast clouds
314,Remiremont,FR,48.0175,6.5882,50.0,81,75,4.61,broken clouds
315,Alexandria,EG,31.2156,29.9553,64.4,63,20,8.05,few clouds
316,Alice Town,BS,25.7167,-79.3,75.4,83,0,17.83,clear sky
317,Axim,GH,4.8699,-2.2405,83.88,74,23,9.8,few clouds
318,Begoro,GH,6.3871,-0.3774,91.53,36,50,2.84,scattered clouds
319,Ngunguru,NZ,-35.6167,174.5,62.01,90,94,1.99,overcast clouds
320,Wattegama,LK,6.7989,81.4808,73.4,100,90,6.91,moderate rain
321,Calama,CL,-22.4667,-68.9333,73.4,25,0,6.91,clear sky
322,Masuda,JP,34.6667,131.85,48.2,61,1,4.61,clear sky
323,Port Lincoln,AU,-34.7333,135.8667,61.07,81,85,12.88,overcast clouds
324,Rio Gallegos,AR,-51.6226,-69.2181,57.2,35,20,18.41,few clouds
325,Nata,PA,8.3333,-80.5167,84.2,74,20,10.36,few clouds
326,Rio Grande,BR,-32.035,-52.0986,78.01,65,40,10.36,scattered clouds
327,Sibu,MY,2.3,111.8167,77.0,100,40,2.3,moderate rain
328,Abu Dhabi,AE,24.4667,54.3667,77.0,64,0,5.75,clear sky
329,Kita,ML,13.0349,-9.4895,100.04,8,87,4.41,overcast clouds
330,Padang,ID,-0.9492,100.3543,77.0,83,20,2.3,few clouds
331,Opuwo,NA,-18.0607,13.84,84.38,38,100,4.16,overcast clouds
332,Emmett,US,43.8735,-116.4993,36.0,78,82,2.86,broken clouds
333,Egersund,NO,58.4513,5.9997,26.6,46,0,8.05,clear sky
334,Along,IN,28.1667,94.7667,54.81,51,1,2.55,clear sky
335,Airai,TL,-8.9266,125.4092,61.0,97,100,1.97,overcast clouds
